timeframe,days,volume_ratio_th,volume_reversal_th,signals,buy_signals,sell_signals,num_trades,total_return_pct,final_value,sharpe_ratio,max_drawdown_pct,win_rate,profit_factor,volatility
4h,120,1.0,1.2,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,1.0,1.5,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,1.0,2.0,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,1.1,,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,1.1,1.0,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,1.1,1.2,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,1.1,1.5,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,1.1,2.0,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,1.2,,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,1.2,1.0,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,1.2,1.2,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,1.2,1.5,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,1.2,2.0,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
1d,90,,,1,1,0,1,-14.970014999999966,4251.499250000002,-2.013840995599095,-14.970014999999966,1.0,0.0004909805579256243,0.3014722991173333
1d,90,0.8,,1,1,0,1,-14.970014999999966,4251.499250000002,-2.013840995599095,-14.970014999999966,1.0,0.0004909805579256243,0.3014722991173333
1d,90,0.8,1.0,1,1,0,1,-14.970014999999966,4251.499250000002,-2.013840995599095,-14.970014999999966,1.0,0.0004909805579256243,0.3014722991173333
